Product Name,Review Text,Rating,Source
"Apple iPhone 16 (Black, 128 GB)","Great phone, excellent camera!",5,https://www.flipkart.com/apple-iphone-16-black-128-gb/p/itmb07d67f995271?pid=MOBH4DQFG8NKFRDY
"Apple iPhone 16 (Black, 128 GB)",Battery life could be better.,4,https://www.flipkart.com/apple-iphone-16-black-128-gb/p/itmb07d67f995271?pid=MOBH4DQFG8NKFRDY
"Samsung Galaxy S22 (Black, 128 GB)",Amazing display and performance.,5,https://www.amazon.in/gp/product/B09G9D8KRQ/
"Samsung Galaxy S22 (Black, 128 GB)",Heats up during gaming.,3,https://www.amazon.in/gp/product/B09G9D8KRQ/
Nike Air Max Shoes,Very comfortable and stylish.,5,https://www.myntra.com/shoes/nike-air-max
Nike Air Max Shoes,Sole started peeling after a month.,2,https://www.myntra.com/shoes/nike-air-max
Lakme Foundation,Great coverage and long-lasting.,5,https://www.nykaa.com/lakme-foundation
Lakme Foundation,Shade was a bit off.,3,https://www.nykaa.com/lakme-foundation
Sony Bravia TV,Excellent picture quality.,5,https://www.croma.com/sony-bravia-tv
Sony Bravia TV,Sound quality is average.,3,https://www.croma.com/sony-bravia-tv
